,Mean Rewards,Standard deviation
0,8.169705390930176,0.3079206645488739
1,8.074158668518066,0.06101926043629646
2,8.183730125427246,0.30590441823005676
3,8.148961067199707,0.32226431369781494
4,8.179640769958496,0.312635213136673
5,8.268174171447754,0.355380654335022
6,8.302945137023926,0.5927101373672485
7,8.10629940032959,0.06424711644649506
8,8.309081077575684,0.38420960307121277
9,8.11623477935791,0.06236451864242554
10,8.131134986877441,0.2960221469402313
11,8.10600757598877,0.09845630824565887
12,8.177302360534668,0.3039448857307434
13,8.110098838806152,0.05564260855317116
14,8.07503604888916,0.040309954434633255
15,8.185483932495117,0.2460608333349228
16,8.080879211425781,0.0644521713256836
17,8.085554122924805,0.08848372846841812
18,8.186068534851074,0.2897796332836151
19,8.071236610412598,0.08582065999507904
20,8.179348945617676,0.29763782024383545
21,8.069775581359863,0.07271541655063629
22,8.105131149291992,0.03993853181600571
23,8.333040237426758,0.4463963508605957
24,8.096365928649902,0.0598553866147995
25,8.149836540222168,0.32041147351264954
26,8.050783157348633,0.06276283413171768
27,8.14428424835205,0.31776854395866394
28,8.264667510986328,0.4007343649864197
29,8.247720718383789,0.37642690539360046
30,8.084677696228027,0.05883092060685158
31,8.160940170288086,0.3126210868358612
32,8.188114166259766,0.3014889061450958
33,8.074158668518066,0.0413915179669857
34,8.244214057922363,0.39294716715812683
35,8.147500038146973,0.22675807774066925
36,8.077956199645996,0.08878243714570999
37,8.163861274719238,0.260936975479126
38,8.247137069702148,0.41376569867134094
39,8.184313774108887,0.3053706884384155
40,8.178763389587402,0.3012690246105194
41,8.27547836303711,0.3796539306640625
42,8.425374031066895,0.46347761154174805
43,8.199216842651367,0.30545350909233093
44,8.149543762207031,0.2886844277381897
45,8.087307929992676,0.04399210587143898
46,8.081463813781738,0.04881292209029198
47,8.12003231048584,0.0729031041264534
48,8.145746231079102,0.2677982747554779
49,8.059256553649902,0.0535692535340786
50,8.170289993286133,0.24930517375469208
51,8.031206130981445,0.05211525037884712
52,8.366642951965332,0.4573526680469513
53,8.192789077758789,0.2623665928840637
54,8.154219627380371,0.20735929906368256
55,8.073282241821289,0.057391662150621414
56,8.06188678741455,0.05053067207336426
57,8.166491508483887,0.28812429308891296
58,8.088184356689453,0.05075329914689064
59,8.09227466583252,0.07054071128368378
60,8.302945137023926,0.47384101152420044
61,8.094611167907715,0.08346033096313477
62,8.055749893188477,0.0691923126578331
63,8.181685447692871,0.3155825138092041
64,8.189866065979004,0.30358511209487915
65,8.227851867675781,0.37610936164855957
66,8.269343376159668,0.4232226014137268
67,8.145161628723145,0.2181910276412964
68,8.162108421325684,0.3178803622722626
69,8.219670295715332,0.28587061166763306
70,8.120616912841797,0.08768119663000107
71,8.188405990600586,0.30833739042282104
72,8.088768005371094,0.0882108062505722
73,8.05984115600586,0.06828053295612335
74,8.154511451721191,0.2947017550468445
75,8.161816596984863,0.23026759922504425
76,8.165030479431152,0.30377456545829773
77,8.164444923400879,0.3195027709007263
78,8.039095878601074,0.07818260788917542
79,8.082047462463379,0.034651532769203186
80,8.105130195617676,0.05652773380279541
81,8.084385871887207,0.06926379352807999
82,8.26320743560791,0.3887985348701477
83,8.172334671020508,0.26250985264778137
84,8.187528610229492,0.3012077808380127
85,8.160062789916992,0.26676076650619507
86,8.106884002685547,0.054252684116363525
87,8.168244361877441,0.3108295500278473
88,8.089936256408691,0.06705120205879211
89,8.177302360534668,0.3054748475551605
90,8.16064739227295,0.32114648818969727
91,8.267590522766113,0.41205859184265137
92,8.173504829406738,0.3016563951969147
93,8.086138725280762,0.04126036912202835
94,8.16970443725586,0.26727426052093506
95,8.13318157196045,0.2621830999851227
96,8.219378471374512,0.3951227366924286
97,8.344143867492676,0.4105207622051239
98,8.081171989440918,0.07454703748226166
99,8.189282417297363,0.30237892270088196
